radius_um,wavelength_nm,theta_deg,intensity
5.0,400.0,0.0,1.0
5.0,400.0,1.0,0.5924234564059822
5.0,400.0,2.0,0.0844110962733445
5.0,400.0,3.0,0.00741974014360953
5.0,400.0,4.0,0.009927647068031273
5.0,400.0,5.0,0.001580647807127169
5.0,400.0,6.0,0.010003312281169581
5.0,400.0,7.0,0.0035141287130174923
5.0,400.0,8.0,0.0001089232048928549
5.0,400.0,9.0,0.0010203974913524602
5.0,400.0,10.0,0.004006874202593836
5.0,400.0,11.0,0.0022385776684518887
5.0,400.0,12.0,0.0011027994814719374
5.0,400.0,13.0,0.0027766748745744795
5.0,400.0,14.0,0.0017019051524012516
5.0,400.0,15.0,0.0005363278684554472
5.0,400.0,16.0,0.0018610345040309714
5.0,400.0,17.0,0.0018433605174333744
5.0,400.0,18.0,0.0006478114843316147
5.0,400.0,19.0,0.0017930905935794545
5.0,400.0,20.0,0.0014894077830313775
5.0,400.0,21.0,0.0005380701339851238
5.0,400.0,22.0,0.0015573950160532512
5.0,400.0,23.0,0.001060177432313841
5.0,400.0,24.0,0.0005815074109854021
5.0,400.0,25.0,0.0015461304866009348
5.0,400.0,26.0,0.0006231025855527884
5.0,400.0,27.0,0.0007688226908558151
5.0,400.0,28.0,0.0011519263124392853
5.0,400.0,29.0,0.00029988107703394655
5.0,400.0,30.0,0.0009242208773303822
5.0,400.0,31.0,0.0006367383080188145
5.0,400.0,32.0,0.00032606753649020174
5.0,400.0,33.0,0.0008593654589415143
5.0,400.0,34.0,0.0002905472618189131
5.0,400.0,35.0,0.000583570580234413
5.0,400.0,36.0,0.0005965560065973806
5.0,400.0,37.0,0.00025643192333041023
5.0,400.0,38.0,0.0006933390653799306
5.0,400.0,39.0,0.0002758824097065611
5.0,400.0,40.0,0.00045581742237636513
5.0,400.0,41.0,0.0004129722642186106
5.0,400.0,42.0,0.00025099007569413134
5.0,400.0,43.0,0.00043048688929301536
5.0,400.0,44.0,0.0002085261628346711
5.0,400.0,45.0,0.0002776437993759731
5.0,400.0,46.0,0.00026120486610390356
5.0,400.0,47.0,0.00016251430169867092
5.0,400.0,48.0,0.00021970843744270933
5.0,400.0,49.0,0.00015360546168157
5.0,400.0,50.0,0.0001366159578001773
5.0,400.0,51.0,0.0001796021117887777
5.0,400.0,52.0,7.677849622796616e-05
5.0,400.0,53.0,0.00015949165212012891
5.0,400.0,54.0,0.00010562872214067389
5.0,400.0,55.0,8.262649782665878e-05
5.0,400.0,56.0,0.00014213525177748598
5.0,400.0,57.0,4.5465896992683065e-05
5.0,400.0,58.0,0.00013091255415048728
5.0,400.0,59.0,5.752740595692022e-05
5.0,400.0,60.0,8.316582240227124e-05
5.0,400.0,61.0,9.513399199886531e-05
5.0,400.0,62.0,3.327869759742298e-05
5.0,400.0,63.0,9.610944274770406e-05
5.0,400.0,64.0,3.3231027919803216e-05
5.0,400.0,65.0,5.659914523085189e-05
5.0,400.0,66.0,4.9783290232586764e-05
5.0,400.0,67.0,3.480147518177103e-05
5.0,400.0,68.0,4.6935585842432295e-05
5.0,400.0,69.0,3.8836667548594885e-05
5.0,400.0,70.0,3.143598589241182e-05
5.0,400.0,71.0,5.5191697829247905e-05
5.0,400.0,72.0,1.745560691183934e-05
5.0,400.0,73.0,6.209862996652362e-05
5.0,400.0,74.0,2.6381112769727194e-05
5.0,400.0,75.0,4.025609850127254e-05
5.0,400.0,76.0,4.8549004014160334e-05
5.0,400.0,77.0,1.2856203367454303e-05
5.0,400.0,78.0,4.666454285138292e-05
5.0,400.0,79.0,8.962736545876485e-06
5.0,400.0,80.0,2.2391260757369757e-05
5.0,400.0,81.0,1.5350945673242148e-05
5.0,400.0,82.0,8.042688942298149e-06
5.0,400.0,83.0,1.5130676023262455e-05
5.0,400.0,84.0,1.0850713207460219e-05
5.0,400.0,85.0,1.0543626596827485e-05
5.0,400.0,86.0,1.814478773432166e-05
5.0,400.0,87.0,8.140850923677386e-06
5.0,400.0,88.0,2.012349979389999e-05
5.0,400.0,89.0,7.329790920632095e-06
5.0,400.0,90.0,1.4790447050213502e-05
5.0,400.0,91.0,6.951487679013557e-06
5.0,400.0,92.0,5.407336697787795e-06
5.0,400.0,93.0,4.8851431138891365e-06
5.0,400.0,94.0,2.5098122345913508e-06
5.0,400.0,95.0,1.6677395463464365e-06
5.0,400.0,96.0,8.965360042931568e-06
5.0,400.0,97.0,1.2089598847644586e-06
5.0,400.0,98.0,1.4389459844192811e-05
5.0,400.0,99.0,5.831803471896922e-06
5.0,400.0,100.0,1.0174515778106422e-05
5.0,400.0,101.0,8.351854044979302e-06
5.0,400.0,102.0,2.3720037670110675e-06
5.0,400.0,103.0,4.742246570469525e-06
5.0,400.0,104.0,2.601782843047638e-06
5.0,400.0,105.0,1.580522259236769e-06
5.0,400.0,106.0,9.45716280469151e-06
5.0,400.0,107.0,7.974403303302582e-06
5.0,400.0,108.0,1.008859969232875e-05
5.0,400.0,109.0,1.61232092436654e-05
5.0,400.0,110.0,4.560042785826728e-06
5.0,400.0,111.0,1.031036372795137e-05
5.0,400.0,112.0,5.963844560493947e-06
5.0,400.0,113.0,5.153475111516714e-06
5.0,400.0,114.0,1.2958014895244394e-05
5.0,400.0,115.0,2.2553059753397447e-05
5.0,400.0,116.0,1.4881247505419341e-05
5.0,400.0,117.0,4.211872792679444e-05
5.0,400.0,118.0,1.2808818923693333e-05
5.0,400.0,119.0,3.4057740287700304e-05
5.0,400.0,120.0,1.0324458311326913e-05
5.0,400.0,121.0,1.9531084544236998e-05
5.0,400.0,122.0,7.1224376795470585e-06
5.0,400.0,123.0,2.690396589494578e-05
5.0,400.0,124.0,1.618817150819128e-05
5.0,400.0,125.0,2.4513766020530262e-05
5.0,400.0,126.0,3.468416964567385e-05
5.0,400.0,127.0,4.582037425837382e-06
5.0,400.0,128.0,2.928928392368246e-05
5.0,400.0,129.0,7.607460231954681e-06
5.0,400.0,130.0,1.6654397808628276e-05
5.0,400.0,131.0,1.0956561412838418e-05
5.0,400.0,132.0,3.4190254069681536e-05
5.0,400.0,133.0,1.1585956412801499e-05
5.0,400.0,134.0,1.826967817692666e-05
5.0,400.0,135.0,4.359372489468539e-05
5.0,400.0,136.0,3.096443133741011e-05
5.0,400.0,137.0,2.1247375029268066e-05
5.0,400.0,138.0,4.885205258977859e-05
5.0,400.0,139.0,5.038060110682805e-05
5.0,400.0,140.0,3.354982260117912e-05
5.0,400.0,141.0,4.5963024551994586e-05
5.0,400.0,142.0,4.7168301575322006e-05
5.0,400.0,143.0,0.0001026608182799446
5.0,400.0,144.0,8.203618568519263e-05
5.0,400.0,145.0,5.5229958538263854e-05
5.0,400.0,146.0,9.838382489273994e-05
5.0,400.0,147.0,5.890042906346618e-05
5.0,400.0,148.0,0.00011526932637128266
5.0,400.0,149.0,4.992404174651687e-05
5.0,400.0,150.0,4.329106908447358e-05
5.0,400.0,151.0,3.461649323391655e-05
5.0,400.0,152.0,4.903236580888863e-05
5.0,400.0,153.0,4.396728927634275e-05
5.0,400.0,154.0,0.00010466345536902623
5.0,400.0,155.0,8.680175953867914e-05
5.0,400.0,156.0,3.850989528865457e-05
5.0,400.0,157.0,6.786390046364523e-05
5.0,400.0,158.0,2.2830691436651407e-05
5.0,400.0,159.0,5.310412008625691e-05
5.0,400.0,160.0,6.489152867719741e-05
5.0,400.0,161.0,0.00010552490505184276
5.0,400.0,162.0,3.6113502074258204e-05
5.0,400.0,163.0,7.136365921564446e-05
5.0,400.0,164.0,3.838821597008319e-05
5.0,400.0,165.0,4.714486954744764e-05
5.0,400.0,166.0,3.089254859586117e-05
5.0,400.0,167.0,6.814745574311145e-05
5.0,400.0,168.0,3.112475974853423e-05
5.0,400.0,169.0,4.466015435317056e-05
5.0,400.0,170.0,4.2904020418142106e-05
5.0,400.0,171.0,7.063330040013006e-05
