alpha_deg,red_650nm,green_550nm,blue_450nm,white_sum
0,0.249131,0.0617441,0.453916,0.764791
0.05,0.248765,0.0616544,0.454165,0.764585
0.1,0.247799,0.0614601,0.455013,0.764272
0.15,0.246589,0.0613527,0.456697,0.764638
0.2,0.245624,0.0615627,0.459427,0.766614
0.25,0.245406,0.0622829,0.463234,0.770923
0.3,0.246354,0.0636171,0.467869,0.77784
0.35,0.248732,0.0655474,0.472804,0.787083
0.4,0.252604,0.0679028,0.477358,0.797865
0.45,0.257806,0.0703418,0.480951,0.809099
0.5,0.263929,0.0723924,0.483411,0.819732
0.55,0.270349,0.0735793,0.485135,0.829064
0.6,0.276322,0.0736071,0.486981,0.83691
0.65,0.28114,0.0725058,0.489916,0.843562
0.7,0.28432,0.0706513,0.494651,0.849623
0.75,0.28575,0.0686464,0.50143,0.855825
0.8,0.285735,0.0671394,0.509987,0.862862
0.85,0.284932,0.0666787,0.519617,0.871228
0.9,0.284189,0.0676445,0.529332,0.881165
0.95,0.284368,0.070217,0.538179,0.892764
1,0.28621,0.0743176,0.545665,0.906193
1.05,0.290252,0.0795246,0.552055,0.921832
1.1,0.296775,0.0850541,0.558297,0.940126
1.15,0.305763,0.0899057,0.565578,0.961246
1.2,0.316853,0.0931759,0.574805,0.984835
1.25,0.329309,0.0944089,0.586311,1.01003
1.3,0.342079,0.0937937,0.599832,1.0357
1.35,0.353973,0.0921053,0.614636,1.06071
1.4,0.363929,0.090443,0.629714,1.08409
1.45,0.371294,0.0899263,0.644086,1.10531
1.5,0.376006,0.0914779,0.657235,1.12472
1.55,0.378616,0.0957044,0.669444,1.14376
1.6,0.380142,0.102793,0.681746,1.16468
1.65,0.381834,0.112378,0.695439,1.18965
1.7,0.384933,0.12346,0.711457,1.21985
1.75,0.390494,0.134514,0.730003,1.25501
1.8,0.399271,0.143882,0.750553,1.29371
1.85,0.411633,0.150327,0.772076,1.33404
1.9,0.427479,0.153506,0.793326,1.37431
1.95,0.44616,0.154115,0.813208,1.41348
